Geo Point;Geo Shape;crossing;@id;highway
50.6238624, 3.0928877;"{""type"": ""Point"", ""coordinates"": [3.0928877, 50.6238624]}";;node/2503224305;crossing
50.7527214, 3.1207563;"{""type"": ""Point"", ""coordinates"": [3.1207563, 50.7527214]}";;node/2505357567;crossing
50.5396232, 2.7879042;"{""type"": ""Point"", ""coordinates"": [2.7879042, 50.5396232]}";;node/2507627448;crossing
50.5402235, 2.7880087;"{""type"": ""Point"", ""coordinates"": [2.7880087, 50.5402235]}";;node/2507627459;crossing
50.6391773, 3.1560202;"{""type"": ""Point"", ""coordinates"": [3.1560202, 50.6391773]}";;node/2529051897;crossing
50.6401983, 3.1578467;"{""type"": ""Point"", ""coordinates"": [3.1578467, 50.6401983]}";;node/2529051904;crossing
50.6111983, 3.202324;"{""type"": ""Point"", ""coordinates"": [3.202324, 50.6111983]}";;node/2550417577;crossing
50.6113115, 3.2025079;"{""type"": ""Point"", ""coordinates"": [3.2025079, 50.6113115]}";;node/2550417579;crossing
50.5541506, 2.8651505;"{""type"": ""Point"", ""coordinates"": [2.8651505, 50.5541506]}";;node/2550940643;crossing
50.5541604, 2.8648814;"{""type"": ""Point"", ""coordinates"": [2.8648814, 50.5541604]}";;node/2550940645;crossing
50.6444253, 3.1662687;"{""type"": ""Point"", ""coordinates"": [3.1662687, 50.6444253]}";;node/2554339583;crossing
50.650348, 3.0363091;"{""type"": ""Point"", ""coordinates"": [3.0363091, 50.650348]}";;node/2558661281;crossing
50.6589152, 3.0078912;"{""type"": ""Point"", ""coordinates"": [3.0078912, 50.6589152]}";;node/2561017142;crossing
50.6617473, 3.0058985;"{""type"": ""Point"", ""coordinates"": [3.0058985, 50.6617473]}";;node/2561017195;crossing
50.6682759, 2.9917095;"{""type"": ""Point"", ""coordinates"": [2.9917095, 50.6682759]}";;node/2561028437;crossing
50.5524288, 3.0391606;"{""type"": ""Point"", ""coordinates"": [3.0391606, 50.5524288]}";;node/2561526457;crossing
50.5526113, 3.0386938;"{""type"": ""Point"", ""coordinates"": [3.0386938, 50.5526113]}";;node/2561526458;crossing
50.5528474, 3.0383649;"{""type"": ""Point"", ""coordinates"": [3.0383649, 50.5528474]}";;node/2561526461;crossing
50.6870234, 3.1434951;"{""type"": ""Point"", ""coordinates"": [3.1434951, 50.6870234]}";;node/2561533261;crossing
