,"Membre de",Laboratoire,Université,Affiliation,"A pour ville",Nom,"A pour clé de tri"
"Mokhtar Ben Henda","Université de Bordeaux,Université de La Manouba,Université Michel de Montaigne Bordeaux 3",,,"Université de Bordeaux",Bordeaux,"Mokhtar Ben Henda",
"Catherine Morel-Pair","Institut de l'information scientifique et technique",,,"Institut de l'information scientifique et technique",Nancy,"Catherine Morel-Pair",
"Pierre Morelli","Université de Lorraine,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université de Lorraine",,Metz,"Pierre Morelli",
"Jocelyne Nanard","Université de Montpellier",,,"Université de Montpellier",Montpellier,"Jocelyne Nanard",
"Marc Nanard","Université Montpellier 2",,,"Université Montpellier 2",Montpellier,"Marc Nanard",
"Stéphane Natkin","Conservatoire national des arts et métiers",,,"Conservatoire national des arts et métiers",,"Stéphane Natkin",
"Emmanuel Nauer","Laboratoire lorrain de recherche en informatique et ses applications,Orpailleur (Loria)","Laboratoire lorrain de recherche en informatique et ses applications",,,Nancy,"Emmanuel Nauer",
"Renzo Orsini","Università Ca' Foscari Venezia",,"Università Ca' Foscari Venezia",,Venise,"Renzo Orsini",
"Fabrice Papy","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Fabrice Papy",
"Louis-Claude Paquin","Université du Québec à Montréal,Laboratoire de technologies interactives",,"Université du Québec à Montréal","Laboratoire de technologies interactives",,"Louis-Claude Paquin",
"Sophie Pene","Université Paris Descartes",,,"Université Paris Descartes",Paris,"Sophie Pene",
"Étienne Perény","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Étienne Perény",
"Jean-Pierre Perrin","Centre de recherche en architecture et ingénierie","Centre de recherche en architecture et ingénierie",,,Nancy,"Jean-Pierre Perrin",
"Peter Pin-Shan Chen","Université d'État de Louisiane",,"Université d'État de Louisiane",,Bâton-Rouge,"Peter Pin-Shan Chen",
"Philippe Bootz","Université Paris 8",,,"Université Paris 8",Paris,"Philippe Bootz",
"Yves Poilane","Télécom ParisTech,École Polytechnique.",,,"Télécom ParisTech,École Polytechnique.",,"Yves Poilane",
"Alina Popova","Université européenne à Saint-Pétersbourg,Institut d’économie et de mathématiques de l’Académie des Sciences de la Russie",,"Université européenne à Saint-Pétersbourg","Institut d’économie et de mathématiques de l’Académie des Sciences de la Russie",Saint-Pétersbourg,"Alina Popova",
"Nam-Jun Pyun","Université Paris Descartes",,"Université Paris Descartes",,Paris,"Nam-Jun Pyun",
"Pierre Quettier","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Pierre Quettier",
"Vincent Quint","Centre de Recherche INRIA Grenoble – Rhône-Alpes",,,"Centre de Recherche INRIA Grenoble – Rhône-Alpes",Montbonnot,"Vincent Quint",
"Pierre Rabardel","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Pierre Rabardel",
"Raja Fenniche","Université de la Manouba",,"Université de la Manouba",,Tunis,"Raja Fenniche",
"Jean-Yves Ramel","Université François-Rabelais de Tours,Laboratoire d'Informatique EA 2101",,"Université François-Rabelais de Tours","Laboratoire d'Informatique EA 2101",,"Jean-Yves Ramel",
"Everardo Reyes","Technologico de Monterrey",,,"Technologico de Monterrey",Monterrey,"Everardo Reyes",
"Hélène Richy","Université de Rennes 1,Institut de Recherche en Informatique et Automatique",,"Université de Rennes 1","Institut de Recherche en Informatique et Automatique",Rennes,"Hélène Richy",
"Bernhard Rieder","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Bernhard Rieder",
"Rik Van de Walle","Université de Gand",,"Université de Gand",,Gand,"Rik Van de Walle",
"Estrella Rojas","Université d’Artois",,,"Université d’Artois",Lens,"Estrella Rojas",
"Ève Ross","Université de technologie de Compiègne,Université Paul Verlaine - Metz,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université de technologie de Compiègne","Université Paul Verlaine - Metz",Compiègne,"Ève Ross",
"Christian Rossi","Centre pour la communication scientifique directe",,,"Centre pour la communication scientifique directe",Lyon,"Christian Rossi",
"Ioan Roxin","Université de Franche-Comté",,,"Université de Franche-Comté",Montbéliard,"Ioan Roxin",
"Jean Royauté","CNRS,Laboratoire d'informatique fondamentale de Marseille","Laboratoire d'informatique fondamentale de Marseille",,CNRS,Marseille,"Jean Royauté",
"Jean-Hugues Réty","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Jean-Hugues Réty",
"Alexandra Saemmer","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Alexandra Saemmer",
"Imad Saleh","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Imad Saleh",
"Emmanuel Sander","Université Paris 8",,,"Université Paris 8",Paris,"Emmanuel Sander",
"Alberto Scuttari","Università Ca' Foscari Venezia",,"Università Ca' Foscari Venezia",,Venise,"Alberto Scuttari",
"Aude Seurrat","Université Paris 13,Laboratoire des Sciences de l'Information et de la Communication",,,"Université Paris 13,Laboratoire des Sciences de l'Information et de la Communication",,"Aude Seurrat",
"Mohammed Sidir","Université de Picardie Jules Verne",,,"Université de Picardie Jules Verne",Amiens,"Mohammed Sidir",
"Justine Simon","Université de Lorraine,Centre de recherche sur les médiations","Centre de recherche sur les médiations",,"Université de Lorraine",Metz,"Justine Simon",
"Brigitte Simonnot","Université de Lorraine,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université de Lorraine",,Nancy,"Brigitte Simonnot",
"Basel Solaiman","Télécom Bretagne",,,"Télécom Bretagne",,"Basel Solaiman",
"Franck Soudan","Université de Savoie",,"Université de Savoie",,Chambéry,"Franck Soudan",
"François Soulages","Université Paris 8,Laboratoire Arts des images et art contemporain","Laboratoire Arts des images et art contemporain","Université Paris 8",,Paris,"François Soulages",
"Chantal Soulé-Dupuy","Université Toulouse 1 Capitole,Institut de recherche en informatique de Toulouse","Institut de recherche en informatique de Toulouse",,"Université Toulouse 1 Capitole",Toulouse,"Chantal Soulé-Dupuy",
"Federico Tajariol","Université de Franche-Comté",,,"Université de Franche-Comté",Montbéliard,"Federico Tajariol",
